rowid,kepid,koi_disposition,koi_pdisposition
5936,6447372,FALSE POSITIVE,FALSE POSITIVE
5937,6461675,FALSE POSITIVE,FALSE POSITIVE
5938,6509282,CANDIDATE,CANDIDATE
5939,8231667,CANDIDATE,CANDIDATE
5940,6697817,CANDIDATE,CANDIDATE
5941,3439096,FALSE POSITIVE,FALSE POSITIVE
5942,3324644,FALSE POSITIVE,FALSE POSITIVE
5943,5437945,CONFIRMED,CANDIDATE
5944,1161949,FALSE POSITIVE,FALSE POSITIVE
5945,4077767,FALSE POSITIVE,FALSE POSITIVE
5946,4135912,CANDIDATE,CANDIDATE
5947,4144238,FALSE POSITIVE,FALSE POSITIVE
5948,4147171,FALSE POSITIVE,FALSE POSITIVE
5949,4149060,FALSE POSITIVE,FALSE POSITIVE
5950,4150972,FALSE POSITIVE,FALSE POSITIVE
5951,4160006,FALSE POSITIVE,FALSE POSITIVE
5952,5436455,CANDIDATE,CANDIDATE
5953,5439000,FALSE POSITIVE,FALSE POSITIVE
5954,5440435,FALSE POSITIVE,FALSE POSITIVE
5955,5440472,FALSE POSITIVE,FALSE POSITIVE
5956,5443320,CANDIDATE,CANDIDATE
5957,5446961,FALSE POSITIVE,FALSE POSITIVE
5958,5467126,FALSE POSITIVE,FALSE POSITIVE
5959,6511182,CANDIDATE,CANDIDATE
5960,6517064,FALSE POSITIVE,FALSE POSITIVE
5961,6517200,CANDIDATE,CANDIDATE
5962,6517255,FALSE POSITIVE,FALSE POSITIVE
5963,6522124,FALSE POSITIVE,FALSE POSITIVE
5964,6525196,FALSE POSITIVE,FALSE POSITIVE
5965,6525398,FALSE POSITIVE,FALSE POSITIVE
5966,6526377,FALSE POSITIVE,FALSE POSITIVE
5967,1164301,FALSE POSITIVE,FALSE POSITIVE
5968,1429589,CANDIDATE,CANDIDATE
5969,1572948,FALSE POSITIVE,FALSE POSITIVE
5970,1725193,FALSE POSITIVE,FALSE POSITIVE
5971,1865864,CANDIDATE,CANDIDATE
5972,1873513,CONFIRMED,CANDIDATE
5973,4164511,CANDIDATE,CANDIDATE
5974,4179201,CANDIDATE,CANDIDATE
5975,4241238,CANDIDATE,CANDIDATE
5976,4242806,FALSE POSITIVE,FALSE POSITIVE
5977,4245861,FALSE POSITIVE,FALSE POSITIVE
5978,4246343,FALSE POSITIVE,FALSE POSITIVE
5979,4253860,FALSE POSITIVE,FALSE POSITIVE
5980,4274816,FALSE POSITIVE,FALSE POSITIVE
5981,5470851,FALSE POSITIVE,FALSE POSITIVE
5982,5471108,FALSE POSITIVE,FALSE POSITIVE
5983,5524229,CANDIDATE,CANDIDATE
5984,5525484,FALSE POSITIVE,FALSE POSITIVE
5985,5529385,CANDIDATE,CANDIDATE
5986,5547424,FALSE POSITIVE,FALSE POSITIVE
5987,5551240,CONFIRMED,CANDIDATE
5988,6527229,FALSE POSITIVE,FALSE POSITIVE
5989,6543192,CANDIDATE,CANDIDATE
5990,6543674,FALSE POSITIVE,FALSE POSITIVE
5991,6548429,FALSE POSITIVE,FALSE POSITIVE
5992,6594945,FALSE POSITIVE,FALSE POSITIVE
5993,6600515,FALSE POSITIVE,FALSE POSITIVE
5994,6608090,FALSE POSITIVE,FALSE POSITIVE
5995,2010607,FALSE POSITIVE,FALSE POSITIVE
5996,2015013,FALSE POSITIVE,FALSE POSITIVE
5997,2019199,FALSE POSITIVE,FALSE POSITIVE
5998,2158460,FALSE POSITIVE,FALSE POSITIVE
5999,2165352,FALSE POSITIVE,FALSE POSITIVE
6000,2305255,FALSE POSITIVE,FALSE POSITIVE
6001,2305543,FALSE POSITIVE,FALSE POSITIVE
6002,4276114,FALSE POSITIVE,FALSE POSITIVE
6003,4281023,FALSE POSITIVE,FALSE POSITIVE
6004,4281700,FALSE POSITIVE,FALSE POSITIVE
6005,4346339,CANDIDATE,CANDIDATE
6006,4365461,FALSE POSITIVE,FALSE POSITIVE
6007,4366923,FALSE POSITIVE,FALSE POSITIVE
6008,4449752,FALSE POSITIVE,FALSE POSITIVE
6009,5563057,CANDIDATE,CANDIDATE
6010,5565261,FALSE POSITIVE,FALSE POSITIVE
6011,5602409,FALSE POSITIVE,FALSE POSITIVE
6012,5612111,FALSE POSITIVE,FALSE POSITIVE
6013,5616628,FALSE POSITIVE,FALSE POSITIVE
6014,5623137,FALSE POSITIVE,FALSE POSITIVE
6015,6611779,FALSE POSITIVE,FALSE POSITIVE
6016,6612411,FALSE POSITIVE,FALSE POSITIVE
6017,6612973,FALSE POSITIVE,FALSE POSITIVE
6018,6615600,FALSE POSITIVE,FALSE POSITIVE
6019,6634112,FALSE POSITIVE,FALSE POSITIVE
6020,6635813,FALSE POSITIVE,FALSE POSITIVE
6021,6675757,CANDIDATE,CANDIDATE
6022,6677415,FALSE POSITIVE,FALSE POSITIVE
6023,2309910,FALSE POSITIVE,FALSE POSITIVE
6024,2310993,CANDIDATE,CANDIDATE
6025,2437209,FALSE POSITIVE,FALSE POSITIVE
6026,2437653,FALSE POSITIVE,FALSE POSITIVE
6027,2452289,FALSE POSITIVE,FALSE POSITIVE
6028,2555080,FALSE POSITIVE,FALSE POSITIVE
6029,2569488,FALSE POSITIVE,FALSE POSITIVE
6030,4459503,FALSE POSITIVE,FALSE POSITIVE
6031,4464689,FALSE POSITIVE,FALSE POSITIVE
6032,4469825,FALSE POSITIVE,FALSE POSITIVE
6033,4471313,FALSE POSITIVE,FALSE POSITIVE
6034,4478142,CANDIDATE,CANDIDATE
6035,4484179,CANDIDATE,CANDIDATE
6036,5623839,FALSE POSITIVE,FALSE POSITIVE
6037,5650420,FALSE POSITIVE,FALSE POSITIVE
6038,5650930,FALSE POSITIVE,FALSE POSITIVE
6039,5653152,FALSE POSITIVE,FALSE POSITIVE
6040,5653163,FALSE POSITIVE,FALSE POSITIVE
6041,5685113,FALSE POSITIVE,FALSE POSITIVE
6042,5697395,CANDIDATE,CANDIDATE
6043,5698524,FALSE POSITIVE,FALSE POSITIVE
